City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Ofunato,JP,58.3,overcast clouds,39.0717,141.7167,Ofunato Hot Spring
Hokitika,NZ,53.64,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
Montevideo,UY,69.51,clear sky,-34.8335,-56.1674,Besares Social Club
Piranshahr,IR,58.37,clear sky,36.701,45.1413,مسافر خانه سعدی
Hoquiam,US,63.43,clear sky,46.9809,-123.8893,Econo Lodge Inn & Suites
Hay River,CA,52.86,overcast clouds,60.8156,-115.7999,Ptarmigan Inn
Constantine,DZ,62.01,broken clouds,36.365,6.6147,Grand Hotel Cirta
Cananeia,BR,67.06,scattered clouds,-25.0147,-47.9267,Pousada Ancoradouro
Skibbereen,IE,50.11,clear sky,51.55,-9.2667,The West Cork Hotel
Rio Grande,BR,57.24,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
General Roca,AR,55.62,clear sky,-39.0333,-67.5833,Hotel El Recreo
Gavle,SE,53.92,overcast clouds,60.6745,17.1417,Scandic CH
General Pico,AR,62.38,overcast clouds,-35.6566,-63.7568,Euskadi Hotel
Mizdah,LY,60.91,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
Nemuro,JP,51.64,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
El Sauzal,MX,69.78,scattered clouds,31.9,-116.6833,Hotel Las Rosas & Spa
Murgab,TM,53.42,clear sky,37.4966,61.9714,Wepa Nurlyýew
Otradnoye,RU,51.85,broken clouds,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
Abyek,IR,54.57,clear sky,36.0667,50.55,kaspian sanat navrd sina(لوله مبلی سینا)
Challans,FR,51.96,clear sky,46.8436,-1.8749,Citotel Le Challans
Saldanha,ZA,58.53,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
Enid,US,62.98,clear sky,36.3956,-97.8784,Ramada by Wyndham Enid
Kamina,CD,64.76,clear sky,-8.7386,24.9906,LEANIF HOTEL RESTAURANT
Calama,CL,55.89,clear sky,-22.4667,-68.9333,Park Hotel Calama
Tsiroanomandidy,MG,61.12,clear sky,-18.7667,46.0333,Hotel Ravinala
Perchtoldsdorf,AT,56.21,scattered clouds,48.119,16.2574,Eventhotel Pyramide
Guadix,ES,59.31,overcast clouds,37.2993,-3.1392,Hotel YIT Abentofail
Miranda,CO,66.88,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
Koszalin,PL,50.68,overcast clouds,54.1944,16.1722,Hotel Gromada
Grand Gaube,MU,68.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
Masuda,JP,63.93,overcast clouds,34.6667,131.85,Masuda Green Hotel Morris
Whitehorse,CA,59.81,overcast clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
Halmstad,SE,56.01,moderate rain,56.6745,12.8568,Best Western Plus Grand Hotel
Ushtobe,KZ,50.95,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
Santa Maria,BR,56.75,clear sky,-29.6842,-53.8069,Hotel Morotin
Biograd Na Moru,HR,54.3,overcast clouds,43.9433,15.4519,Villa Maimare
Pampierstad,ZA,57.65,clear sky,-27.7832,24.6877,BAROLONG METHODIST CHURCH
